variable,label,labelLong,section,subject,variableType,units,databaseStart,variableStart
dhhdhsz,Household size,Household size - (D),Socioeconomic,Income,Continuous,persons,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle6::DHHDHSZ, [dhhdhsz]"
diab_a1c,Diabetes,Diabetes prevalence based on HbA1C level,Health status,Chronic disease,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle6::LAB_HBA1, [lab_hba1]"
diab_med,Diabetes medication,Taking diabetes drugs,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds, cycle3_meds, cycle4_meds, cycle5_meds, cycle6_meds","DerivedVar::[atc_101a, atc_102a, atc_103a, atc_104a, atc_105a, atc_106a, atc_107a, atc_108a, atc_109a, atc_110a, atc_111a, atc_112a, atc_113a, atc_114a, atc_115a, atc_201a, atc_202a, atc_203a, atc_204a, atc_205a, atc_206a, atc_207a, atc_208a, atc_209a, atc_210a, atc_211a, atc_212a, atc_213a, atc_214a, atc_215a, atc_131a, atc_132a, atc_133a, atc_134a, atc_135a, atc_231a, atc_232a, atc_233a, atc_234a, atc_235a, mhr_101b, mhr_102b, mhr_103b, mhr_104b, mhr_105b, mhr_106b, mhr_107b, mhr_108b, mhr_109b, mhr_110b, mhr_111b, mhr_112b, mhr_113b, mhr_114b, mhr_115b, mhr_201b, mhr_202b, mhr_203b, mhr_204b, mhr_205b, mhr_206b, mhr_207b, mhr_208b, mhr_209b, mhr_210b, mhr_211b, mhr_212b, mhr_213b, mhr_214b, mhr_215b, mhr_131b, mhr_132b, mhr_133b, mhr_134b, mhr_135b, mhr_231b, mhr_232b, mhr_233b, mhr_234b, mhr_235b]; DerivedVar::[meucatc, npi_25b]"
diab_med2,Diabetes medication,Taking diabetes drugs,Health status,Medication,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle6::DIAB_MED2, [diab_med2]"
diab_status,Diabetes,Diabetes prevalence based on more inclusive classification,Health status,Chronic disease,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","DerivedVar::[diab_a1c, ccc_51, diab_med2]"
diur_med,Diuretics,Taking diuretics,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds, cycle3_meds, cycle4_meds, cycle5_meds, cycle6_meds","DerivedVar::[atc_101a, atc_102a, atc_103a, atc_104a, atc_105a, atc_106a, atc_107a, atc_108a, atc_109a, atc_110a, atc_111a, atc_112a, atc_113a, atc_114a, atc_115a, atc_201a, atc_202a, atc_203a, atc_204a, atc_205a, atc_206a, atc_207a, atc_208a, atc_209a, atc_210a, atc_211a, atc_212a, atc_213a, atc_214a, atc_215a, atc_131a, atc_132a, atc_133a, atc_134a, atc_135a, atc_231a, atc_232a, atc_233a, atc_234a, atc_235a, mhr_101b, mhr_102b, mhr_103b, mhr_104b, mhr_105b, mhr_106b, mhr_107b, mhr_108b, mhr_109b, mhr_110b, mhr_111b, mhr_112b, mhr_113b, mhr_114b, mhr_115b, mhr_201b, mhr_202b, mhr_203b, mhr_204b, mhr_205b, mhr_206b, mhr_207b, mhr_208b, mhr_209b, mhr_210b, mhr_211b, mhr_212b, mhr_213b, mhr_214b, mhr_215b, mhr_131b, mhr_132b, mhr_133b, mhr_134b, mhr_135b, mhr_231b, mhr_232b, mhr_233b, mhr_234b, mhr_235b]; DerivedVar::[meucatc, npi_25b]"
edudr04,Highest education level,"Highest level of education - respondent, 4 levels - (D)",Socioeconomic,Education,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle6::EDUDR04, [edudr04]"
enough_exercise_indicator,Exercises 150 min/week (Accelerometer Days 1-7) ,Exercises 150 min/week based on week-long accelerometer data,Health behaviour,Exercise,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",DerivedVar::[exercise_min_week]
exercise_avg_min_day,Average minutes of exercise per day (Acceloremeter Days 1-7),Averaged moderate-to-vigorous physical activity - Days 1-7 (min/day),Health behaviour,Exercise,Continuous,minutes/day,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","DerivedVar::[ammdmva1, ammdmva2, ammdmva3, ammdmva4, ammdmva5, ammdmva6, ammdmva7]"
exercise_min_week,Minutes of exercise per week,Total moderate-to-vigorous physical activity - Days 1-7 (min/week),Health behaviour,Exercise,Continuous,minutes/week,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",DerivedVar::[exercise_avg_min_day]
fam_bp,Hypertension family history,Immediate family member ever had high blood pressure (3 categories),Health status,Family history,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4",[fmh_15]
