variable,label,labelLong,section,subject,variableType,units,databaseStart,variableStart
mhr_203b,Third over-the-counter meds - time last taken,Third over-the-counter meds - time last taken,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::MHR_203B, [mhr_203b]"
mhr_204b,Fourth over-the-counter meds - time last taken,Fourth over-the-counter meds - time last taken,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::MHR_204B, [mhr_204b]"
mhr_205b,Fifth over-the-counter meds - time last taken,Fifth over-the-counter meds - time last taken,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::MHR_205B, [mhr_205b]"
mhr_206b,Sixth over-the-counter meds - time last taken,Sixth over-the-counter meds - time last taken,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::MHR_206B, [mhr_206b]"
mhr_207b,Seventh over-the-counter meds - time last taken,Seventh over-the-counter meds - time last taken,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::MHR_207B, [mhr_207b]"
mhr_208b,Eighth over-the-counter meds - time last taken,Eighth over-the-counter meds - time last taken,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::MHR_208B, [mhr_208b]"
mhr_209b,Ninth over-the-counter meds - time last taken,Ninth over-the-counter meds - time last taken,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::MHR_209B, [mhr_209b]"
mhr_210b,Tenth over-the-counter meds - time last taken,Tenth over-the-counter meds - time last taken,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::MHR_210B, [mhr_210b]"
mhr_211b,Eleventh over-the-counter meds - time last taken,Eleventh over-the-counter meds - time last taken,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::MHR_211B, [mhr_211b]"
mhr_212b,Twelfth over-the-counter meds - time last taken,Twelfth over-the-counter meds - time last taken,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::MHR_212B, [mhr_212b]"
mhr_213b,Thirteenth over-the-counter meds - time last taken,Thirteenth over-the-counter meds - time last taken,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::MHR_213B, [mhr_213b]"
mhr_214b,Fourteenth over-the-counter meds - time last taken,Fourteenth over-the-counter meds - time last taken,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::MHR_214B, [mhr_214b]"
mhr_215b,Fifteenth over-the-counter meds - time last taken,Fifteenth over-the-counter meds - time last taken,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::MHR_215B, [mhr_215b]"
mhr_231b,First new over-the-counter meds - time last taken,First new over-the-counter meds - time last taken,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::MHR_231B, [mhr_231b]"
mhr_232b,Second new over-the-counter meds - time last taken,Second new over-the-counter meds - time last taken,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::MHR_232B, [mhr_232b]"
mhr_233b,Third new over-the-counter meds - time last taken,Third new over-the-counter meds - time last taken,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::MHR_233B, [mhr_233b]"
mhr_234b,Fourth new over-the-counter meds - time last taken,Fourth new over-the-counter meds - time last taken,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::MHR_234B, [mhr_234b]"
mhr_235b,Fifteenth new over-the-counter meds - time last taken,Fifteenth new over-the-counter meds - time last taken,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::MHR_235B, [mhr_235b]"
misc_htn_med,Other antihypertension drugs,Taking other antihypertension drugs,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds, cycle3_meds, cycle4_meds, cycle5_meds, cycle6_meds","DerivedVar::[atc_101a, atc_102a, atc_103a, atc_104a, atc_105a, atc_106a, atc_107a, atc_108a, atc_109a, atc_110a, atc_111a, atc_112a, atc_113a, atc_114a, atc_115a, atc_201a, atc_202a, atc_203a, atc_204a, atc_205a, atc_206a, atc_207a, atc_208a, atc_209a, atc_210a, atc_211a, atc_212a, atc_213a, atc_214a, atc_215a, atc_131a, atc_132a, atc_133a, atc_134a, atc_135a, atc_231a, atc_232a, atc_233a, atc_234a, atc_235a, mhr_101b, mhr_102b, mhr_103b, mhr_104b, mhr_105b, mhr_106b, mhr_107b, mhr_108b, mhr_109b, mhr_110b, mhr_111b, mhr_112b, mhr_113b, mhr_114b, mhr_115b, mhr_201b, mhr_202b, mhr_203b, mhr_204b, mhr_205b, mhr_206b, mhr_207b, mhr_208b, mhr_209b, mhr_210b, mhr_211b, mhr_212b, mhr_213b, mhr_214b, mhr_215b, mhr_131b, mhr_132b, mhr_133b, mhr_134b, mhr_135b, mhr_231b, mhr_232b, mhr_233b, mhr_234b, mhr_235b]; DerivedVar::[meucatc, npi_25b]"
nohsgrad,Education status,Education status wrt high school graduation (yes/no),Socioeconomic,Education,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle6::EDUDR04, [edudr04]"
nonhdl_category,High non-HDL cholesterol status,At or above 4.3 mmol/L of NonHDL,Health status,Chronic disease,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",DerivedVar::[nonhdl_mmoll]
nonhdl_mmoll,non-HDL cholesterol,non-HDL cholesterol,Health behaviour,Chronic disease,Continuous,mmol/L,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","DerivedVar::[lab_chol, lab_hdl]"
npi_25b,Medication - time last taken (clinic),Medication - time last taken (clinic interview),Health status,Medication,Categorical,N/A,"cycle3_meds, cycle4_meds, cycle5_meds, cycle6_meds","cycle4_meds::NPI_25B, cycle6_meds::NPI_25B, [npi_25b]"
nsaid_med,NSAID,Taking NSAID,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds, cycle3_meds, cycle4_meds, cycle5_meds, cycle6_meds","DerivedVar::[atc_101a, atc_102a, atc_103a, atc_104a, atc_105a, atc_106a, atc_107a, atc_108a, atc_109a, atc_110a, atc_111a, atc_112a, atc_113a, atc_114a, atc_115a, atc_201a, atc_202a, atc_203a, atc_204a, atc_205a, atc_206a, atc_207a, atc_208a, atc_209a, atc_210a, atc_211a, atc_212a, atc_213a, atc_214a, atc_215a, atc_131a, atc_132a, atc_133a, atc_134a, atc_135a, atc_231a, atc_232a, atc_233a, atc_234a, atc_235a, mhr_101b, mhr_102b, mhr_103b, mhr_104b, mhr_105b, mhr_106b, mhr_107b, mhr_108b, mhr_109b, mhr_110b, mhr_111b, mhr_112b, mhr_113b, mhr_114b, mhr_115b, mhr_201b, mhr_202b, mhr_203b, mhr_204b, mhr_205b, mhr_206b, mhr_207b, mhr_208b, mhr_209b, mhr_210b, mhr_211b, mhr_212b, mhr_213b, mhr_214b, mhr_215b, mhr_131b, mhr_132b, mhr_133b, mhr_134b, mhr_135b, mhr_231b, mhr_232b, mhr_233b, mhr_234b, mhr_235b]; DerivedVar::[meucatc, npi_25b]"
paadtot,Minutes of exercise per week (self-reported) ,Total minutes of physical activity from all domains per week - (D),Health behaviour,Exercise,Continuous,minutes/week,"cycle3, cycle4, cycle5, cycle6","cycle3::ipadttpa, cycle6::PAADTOT, [paadtot]"
pack_years,Pack-years,Smoking pack-years,Health behaviour,Smoking,Continuous,years,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","DerivedVar::[smkdsty, clc_age, smk_54, smk_52, smk_31, smk_41, smk_53, smk_42, smk_21, smk_11]"
pgdcgt,Ethnicity,Cultural or racial group - (D),Sociodemographics,Ethnicity,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle1::sdcdcgt, cycle2::sdcdcgt, cycle6::PGDCGT, [pgdcgt]"
prs_11,Pregnancy status,Pregnant,Health status,Pregnacy,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle1::phc_11, cycle2::phc_11, cycle3::phc_11, cycle4::phc_11, cycle6::PRS_11, [prs_11]"
sbp_adj_mmhg,Systolic blood pressure (adjusted),Adjusted systolic blood pressure measurement,Health status,Blood pressure,Continuous,mmHg,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",DerivedVar::[bpmdpbps]
slp_11,Hours of sleep per day,Hours spent sleeping in 24 hour period,Health behaviour,Sleep,Continuous,hours/day,"cycle1, cycle2, cycle3, cycle4",[slp_11]
smk_11,Smoked 100 cigarettes in lifetime,Smoked 100 or more cigarettes - lifetime,Health behaviour,Smoking,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle6::SMK_11, [smk_11]"
smk_21,Age smoked first cigarette,Age - smoked first whole cigarette,Health behaviour,Smoking,Continuous,years,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle6::SMK_21, [smk_21]"
smk_31,Number of cigarettes per day (daily smoker),Number of cigarettes smoked per day (daily smoker),Health behaviour,Smoking,Continuous,cigarettes/day,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle6::SMK_31, [smk_31]"
smk_41,Number of cigarettes per day (occassional smoker),Number of cigarettes smoked per day (occassional smoker),Health behaviour,Smoking,Continuous,cigarettes/day,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle6::SMK_41, [smk_41]"
smk_42,Number days/month smoked at least 1 cigarette (occasional smoker),Number days/past month smoked at least 1 cigarette (occasional smoker),Health behaviour,Smoking,Continuous,days/month,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle6::SMK_42, [smk_42]"
smk_52,Age started smoking daily,Age started smoking daily,Health behaviour,Smoking,Continuous,years,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle6::SMK_52, [smk_52]"
smk_53,Number of cigarettes per day (former daily smoker),Number of cigarettes smoked per day (former daily smoker),Health behaviour,Smoking,Continuous,cigarettes/day,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle6::SMK_53, [smk_53]"
smk_54,Age stopped smoking daily,Age stopped smoking cigarettes daily/completely,Health behaviour,Smoking,Continuous,years,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle6::SMK_54, [smk_54]"
smkdsty,Smoking frequency,Type of smoker - (D),Health behaviour,Smoking,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle6::SMKDSTY, [smkdsty]"
smoke,Smoking status,Smoking status,Health behaviour,Smoking,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle6::SMKDSTY, [smkdsty]"
spa_020,Trouble sleeping,Trouble going to sleep or staying asleep,Health behaviour,Sleep,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle1::slp_12, cycle2::slp_12, cycle3::slp_12, cycle4::slp_12, cycle6::SPA_020, [spa_020]"
thi_01,Household income,Household income - amount,Socioeconomic,Income,Continuous,$,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle1::inc_21, cycle2::inc_21, cycle5::inc_hhld, cycle6::THI_01, [thi_01]"
thifimp4,Household income imputation flag,Total household income imputation flag - (F),Socioeconomic,Income,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle1::incfimp4, cycle2::incfimp4, cycle5::incfhhld, cycle6::THIFIMP4, [thifimp4]"
waist_height_ratio,Waist-to-height ratio,Waist-to-height ratio,Health status,Weight,Continuous,cm,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","DerivedVar::[hwm_11cm, hwm_14cx]		"
wgt_full,Full sample weight,Full sample weight,N/A,N/A,Continuous,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle6::WGT_FULL, [wgt_full]"
working,Working status,Working status,Socioeconomic,Occupation,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle1::lbfdwsl, cycle2::lbfdwsl, cycle6::LAFDWSL, [lafdwsl]"
wsdd14y,Fruit juice consumption in year,Drinks fruit juices - times per year - (D),Health behaviour,Diet,Continuous,times/year,"cycle1, cycle2",[wsdd14y]
wsdd34y,Orange or grapefruit juice consumption in year,"	Drinks orange or grapefruit juice - times per year - (D)",Health behaviour,Diet,Continuous,times/year,"cycle3, cycle4, cycle5, cycle6","cycle6::WSDD34Y, [wsdd34y]"
wsdd35y,Other fruit juice consumption in year,Drinks other 100% fruit juices - times per year - (D),Health behaviour,Diet,Continuous,times/year,"cycle3, cycle4, cycle5, cycle6","cycle6::WSDD35Y, [wsdd35y]"
