variable,,dummyVariable,,,typeEnd,databaseStart,,,,,variableStart,,,,,,,,typeStart,recEnd,,,,numValidCat,,catLabel,,catLabelLong,,units,,recStart,,catStartLabel,,,,,variableStartShortLabel,,,,,variableStartLabel,,,,,,,notes
cardiov,,N/A,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[CCC_61, CCC_63, CCC_81]",,,,,,,,N/A,Func::determine_CVD_Personal_History,,,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,,,,Cardiovascular disease,,,,,Cardiovascular disease - heart disease OR stroke,,,,,,,"Derived from CCC_61, CCC_63, and CCC_81"
cardiov,,cardiov_cat2_1,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[CCC_61, CCC_63, CCC_81]",,,,,,,,N/A,1,,,,2,,Yes,,Yes,,N/A,,N/A,,Yes,,,,,Cardiovascular disease,,,,,Cardiovascular disease - heart disease OR stroke,,,,,,,
cardiov,,cardiov_cat2_2,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[CCC_61, CCC_63, CCC_81]",,,,,,,,N/A,2,,,,2,,No,,No,,N/A,,N/A,,No,,,,,Cardiovascular disease,,,,,Cardiovascular disease - heart disease OR stroke,,,,,,,
cardiov,,cardiov_cat2_NA::b,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[CCC_61, CCC_63, CCC_81]",,,,,,,,N/A,NA::b,,,,2,,missing,,missing,,N/A,,N/A,,missing,,,,,Cardiovascular disease,,,,,Cardiovascular disease - heart disease OR stroke,,,,,,,
CCBmed,,N/A,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[MEUCATC, NPI_25B]",,,,,,,,N/A,Func::is_calcium_channel_blocker,,,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,,,,Calcium channel blockers,,,,,Taking calcium channel blockers,,,,,,,"Derived from MEUCATC, NPI_25A, and NPI_25B"
CCBmed,,CCBmed_cat2_1,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[MEUCATC, NPI_25B]",,,,,,,,N/A,1,,,,2,,Yes,,Yes,,N/A,,N/A,,Yes,,,,,Calcium channel blockers,,,,,Taking calcium channel blockers,,,,,,,
CCBmed,,CCBmed_cat2_2,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[MEUCATC, NPI_25B]",,,,,,,,N/A,2,,,,2,,No,,No,,N/A,,N/A,,No,,,,,Calcium channel blockers,,,,,Taking calcium channel blockers,,,,,,,
CCBmed,,CCBmed_cat2_NA::b,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[MEUCATC, NPI_25B]",,,,,,,,N/A,NA::b,,,,2,,missing,,missing,,N/A,,N/A,,missing,,,,,Calcium channel blockers,,,,,Taking calcium channel blockers,,,,,,,
CCC_51,,CCC_51_cat2_1,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[CCC_51],,,,,,,,cat,1,,,,2,,Yes,,Yes,,N/A,,1,,Yes,,,,,Diabetes,,,,,Has diabetes,,,,,,,
CCC_51,,CCC_51_cat2_2,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[CCC_51],,,,,,,,cat,2,,,,2,,No,,No,,N/A,,2,,No,,,,,Diabetes,,,,,Has diabetes,,,,,,,
CCC_51,,CCC_51_cat2_NA::a,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[CCC_51],,,,,,,,cat,NA::a,,,,2,,not applicable,,not applicable,,N/A,,6,,Valid skip,,,,,Diabetes,,,,,Has diabetes,,,,,,,
CCC_51,,CCC_51_cat2_NA::b,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[CCC_51],,,,,,,,cat,NA::b,,,,2,,missing,,missing,,N/A,,"[7, 9]",,Don't know (7); Refusal (8); Not stated (9),,,,,Diabetes,,,,,Has diabetes,,,,,,,
CCC_51,,CCC_51_cat2_NA::b,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[CCC_51],,,,,,,,cat,NA::b,,,,2,,missing,,missing,,N/A,,else,,else,,,,,Diabetes,,,,,Has diabetes,,,,,,,
CCC_61,,CCC_61_cat2_1,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[CCC_61],,,,,,,,cat,1,,,,2,,Yes,,Yes,,N/A,,1,,Yes,,,,,Heart disease ,,,,,Has heart disease,,,,,,,
CCC_61,,CCC_61_cat2_2,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[CCC_61],,,,,,,,cat,2,,,,2,,No,,No,,N/A,,2,,No,,,,,Heart disease ,,,,,Has heart disease,,,,,,,
CCC_61,,CCC_61_cat2_NA::a,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[CCC_61],,,,,,,,cat,NA::a,,,,2,,not applicable,,not applicable,,N/A,,6,,Valid skip,,,,,Heart disease ,,,,,Has heart disease,,,,,,,
CCC_61,,CCC_61_cat2_NA::b,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[CCC_61],,,,,,,,cat,NA::b,,,,2,,missing,,missing,,N/A,,"[7, 9]",,Don't know (7); Refusal (8); Not stated (9),,,,,Heart disease ,,,,,Has heart disease,,,,,,,
CCC_61,,CCC_61_cat2_NA::b,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[CCC_61],,,,,,,,cat,NA::b,,,,2,,missing,,missing,,N/A,,else,,else,,,,,Heart disease ,,,,,Has heart disease,,,,,,,
CCC_63,,CCC_63_cat2_1,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[CCC_63],,,,,,,,cat,1,,,,2,,Yes,,Yes,,N/A,,1,,Yes,,,,,Heart attack,,,,,Ever had a heart attack,,,,,,,
CCC_63,,CCC_63_cat2_2,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[CCC_63],,,,,,,,cat,2,,,,2,,No,,No,,N/A,,2,,No,,,,,Heart attack,,,,,Ever had a heart attack,,,,,,,
CCC_63,,CCC_63_cat2_NA::a,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[CCC_63],,,,,,,,cat,NA::a,,,,2,,not applicable,,not applicable,,N/A,,6,,Valid skip,,,,,Heart attack,,,,,Ever had a heart attack,,,,,,,
CCC_63,,CCC_63_cat2_NA::b,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[CCC_63],,,,,,,,cat,NA::b,,,,2,,missing,,missing,,N/A,,"[7, 9]",,Don't know (7); Refusal (8); Not stated (9),,,,,Heart attack,,,,,Ever had a heart attack,,,,,,,
CCC_63,,CCC_63_cat2_NA::b,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[CCC_63],,,,,,,,cat,NA::b,,,,2,,missing,,missing,,N/A,,else,,else,,,,,Heart attack,,,,,Ever had a heart attack,,,,,,,
CCC_81,,CCC_81_cat2_1,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[CCC_81],,,,,,,,cat,1,,,,2,,Yes,,Yes,,N/A,,1,,Yes,,,,,Stroke,,,,,Suffers from the effects of a stroke,,,,,,,
CCC_81,,CCC_81_cat2_2,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[CCC_81],,,,,,,,cat,2,,,,2,,No,,No,,N/A,,2,,No,,,,,Stroke,,,,,Suffers from the effects of a stroke,,,,,,,
CCC_81,,CCC_81_cat2_NA::a,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[CCC_81],,,,,,,,cat,NA::a,,,,2,,not applicable,,not applicable,,N/A,,6,,Valid skip,,,,,Stroke,,,,,Suffers from the effects of a stroke,,,,,,,
CCC_81,,CCC_81_cat2_NA::b,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[CCC_81],,,,,,,,cat,NA::b,,,,2,,missing,,missing,,N/A,,"[7, 9]",,Don't know (7); Refusal (8); Not stated (9),,,,,Stroke,,,,,Suffers from the effects of a stroke,,,,,,,
CCC_81,,CCC_81_cat2_NA::b,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[CCC_81],,,,,,,,cat,NA::b,,,,2,,missing,,missing,,N/A,,else,,else,,,,,Stroke,,,,,Suffers from the effects of a stroke,,,,,,,
CKD,,CKD_cat2_1,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[GFR],,,,,,,,cont,1,,,,2,,Yes,,Yes,,N/A,,"[0, 60]",,Yes,,,,,Chronic kidney disease,,,,,Chronic kidney disease (categorized by GFR),,,,,,,
CKD,,CKD_cat2_2,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[GFR],,,,,,,,cont,2,,,,2,,No,,No,,N/A,,"(60, ]",,No,,,,,Chronic kidney disease,,,,,Chronic kidney disease (categorized by GFR),,,,,,,
CKD,,CKD_cat2_NA::b,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[GFR],,,,,,,,cont,NA::b,,,,2,,missing,,missing,,N/A,,else,,else,,,,,Chronic kidney disease,,,,,Chronic kidney disease (categorized by GFR),,,,,,,
CLC_AGE,,N/A,,,cont,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[CLC_AGE],,,,,,,,cont,copy,,,,N/A,,Years,,Years,,years,,"[3, 80]",,Years,,,,,Age,,,,,Age at clinic visit,,,,,,,
CLC_AGE,,N/A,,,cont,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[CLC_AGE],,,,,,,,cont,NA::a,,,,N/A,,not applicable,,not applicable,,years,,996,,Valid skip,,,,,Age,,,,,Age at clinic visit,,,,,,,
CLC_AGE,,N/A,,,cont,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[CLC_AGE],,,,,,,,cont,NA::b,,,,N/A,,missing,,missing,,years,,"[997, 999]",,Don't know (997); Refusal (998); Not stated (999),,,,,Age,,,,,Age at clinic visit,,,,,,,
CLC_AGE,,N/A,,,cont,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[CLC_AGE],,,,,,,,cont,NA::b,,,,N/A,,missing,,missing,,years,,else,,else,,,,,Age,,,,,Age at clinic visit,,,,,,,
CLC_SEX,,CLC_SEX_cat2_1,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[CLC_SEX],,,,,,,,cat,1,,,,2,,Male,,Male,,N/A,,1,,Male,,,,,Sex,,,,,Sex,,,,,,,
CLC_SEX,,CLC_SEX_cat2_2,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[CLC_SEX],,,,,,,,cat,2,,,,2,,Female,,Female,,N/A,,2,,Female,,,,,Sex,,,,,Sex,,,,,,,
CLC_SEX,,CLC_SEX_cat2_NA::a,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[CLC_SEX],,,,,,,,cat,NA::a,,,,2,,not applicable,,not applicable,,N/A,,6,,Valid skip,,,,,Sex,,,,,Sex,,,,,,,
CLC_SEX,,CLC_SEX_cat2_NA::b,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[CLC_SEX],,,,,,,,cat,NA::b,,,,2,,missing,,missing,,N/A,,"[7, 9]",,Don't know (7); Refusal (8); Not stated (9),,,,,Sex,,,,,Sex,,,,,,,
CLC_SEX,,CLC_SEX_cat2_NA::b,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[CLC_SEX],,,,,,,,cat,NA::b,,,,2,,missing,,missing,,N/A,,else,,else,,,,,Sex,,,,,Sex,,,,,,,
Control14090,,N/A,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[BPMDPBPS, BPMDPBPD, ANYmed]",,,,,,,,N/A,Func::determine_controlled_hypertension,,,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,,,,Controlled hypertension 140/90,,,,,Controlled hypertension 140/90,,,,,,,"Derived from BPMDPBPS, BPMDPBPD, and ANYmed"
Control14090,,Control14090_cat2_1,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[BPMDPBPS, BPMDPBPD, ANYmed]",,,,,,,,N/A,1,,,,2,,Yes,,Yes,,N/A,,N/A,,Yes,,,,,Controlled hypertension 140/90,,,,,Controlled hypertension 140/90,,,,,,,
Control14090,,Control14090_cat2_2,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[BPMDPBPS, BPMDPBPD, ANYmed]",,,,,,,,N/A,2,,,,2,,No,,No,,N/A,,N/A,,No,,,,,Controlled hypertension 140/90,,,,,Controlled hypertension 140/90,,,,,,,
Control14090,,Control14090_cat2_NA::b,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[BPMDPBPS, BPMDPBPD, ANYmed]",,,,,,,,N/A,NA::b,,,,N/A,,missing,,missing,,N/A,,N/A,,missing,,,,,Controlled hypertension 140/90,,,,,Controlled hypertension 140/90,,,,,,,
Control14090_adj,,N/A,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[SBP_adj, DBP_adj, ANYmed]",,,,,,,,N/A,Func::determine_controlled_adjusted_hypertension,,,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,,,,Controlled (adjusted) hypertension 140/90,,,,,Controlled (adjusted) hypertension 140/90,,,,,,,"Derived from SBP_adj, DBP_adj, and ANYmed"
Control14090_adj,,Control14090_adj_cat2_1,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[SBP_adj, DBP_adj, ANYmed]",,,,,,,,N/A,1,,,,2,,Yes,,Yes,,N/A,,N/A,,Yes,,,,,Controlled (adjusted) hypertension 140/90,,,,,Controlled (adjusted) hypertension 140/90,,,,,,,
Control14090_adj,,Control14090_adj_cat2_2,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[SBP_adj, DBP_adj, ANYmed]",,,,,,,,N/A,2,,,,2,,No,,No,,N/A,,N/A,,No,,,,,Controlled (adjusted) hypertension 140/90,,,,,Controlled (adjusted) hypertension 140/90,,,,,,,
Control14090_adj,,Control14090_adj_cat2_NA::b,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[SBP_adj, DBP_adj, ANYmed]",,,,,,,,N/A,NA::b,,,,N/A,,missing,,missing,,N/A,,N/A,,missing,,,,,Controlled (adjusted) hypertension 140/90,,,,,Controlled (adjusted) hypertension 140/90,,,,,,,
cycle,,N/A,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,DerivedVar::[data_name],,,,,,,,N/A,cycle1,,,,6,,cycle1,,CHMS Cycle 1,,N/A,,N/A,,N/A,,,,,CHMS cycle,,,,,CHMS cycle,,,,,,,
cycle,,N/A,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,DerivedVar::[data_name],,,,,,,,N/A,cycle2,,,,6,,cycle2,,CHMS Cycle 2,,N/A,,N/A,,N/A,,,,,CHMS cycle,,,,,CHMS cycle,,,,,,,
cycle,,N/A,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,DerivedVar::[data_name],,,,,,,,N/A,cycle3,,,,6,,cycle3,,CHMS Cycle 3,,N/A,,N/A,,N/A,,,,,CHMS cycle,,,,,CHMS cycle,,,,,,,
cycle,,N/A,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,DerivedVar::[data_name],,,,,,,,N/A,cycle4,,,,6,,cycle4,,CHMS Cycle 4,,N/A,,N/A,,N/A,,,,,CHMS cycle,,,,,CHMS cycle,,,,,,,
cycle,,N/A,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,DerivedVar::[data_name],,,,,,,,N/A,cycle5,,,,6,,cycle5,,CHMS Cycle 5,,N/A,,N/A,,N/A,,,,,CHMS cycle,,,,,CHMS cycle,,,,,,,
cycle,,N/A,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,DerivedVar::[data_name],,,,,,,,N/A,cycle6,,,,6,,cycle6,,CHMS Cycle 6,,N/A,,N/A,,N/A,,,,,CHMS cycle,,,,,CHMS cycle,,,,,,,
DBP_adj,,N/A,,,cont,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,DerivedVar::[BPMDPBPD],,,,,,,,N/A,Func::adjust_DBP,,,,N/A,,N/A,,N/A,,mmHg,,N/A,,Diastolic blood pressure (adjusted),,,,,Diastolic blood pressure (adjusted),,,,,Adjusted diastolic blood pressure measurement,,,,,,,"Derived from BPMDPBPD		"
DBP_adj,,N/A,,,cont,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,DerivedVar::[BPMDPBPD],,,,,,,,N/A,NA::b,,,,N/A,,missing,,missing,,mmHg,,N/A,,Diastolic blood pressure (adjusted),,,,,Diastolic blood pressure (adjusted),,,,,Adjusted diastolic blood pressure measurement,,,,,,,
DHH_MS,,DHH_MS_cat6_1,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[DHH_MS],,,,,,,,cat,1,,,,6,,Married,,Married,,N/A,,1,,Married,,,,,Marital status,,,,,Marital status,,,,,,,
DHH_MS,,DHH_MS_cat6_2,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[DHH_MS],,,,,,,,cat,2,,,,6,,Common-law,,Common-law,,N/A,,2,,Living common-law,,,,,Marital status,,,,,Marital status,,,,,,,
DHH_MS,,DHH_MS_cat6_3,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[DHH_MS],,,,,,,,cat,3,,,,6,,Widowed,,Widowed,,N/A,,3,,Widowed,,,,,Marital status,,,,,Marital status,,,,,,,
DHH_MS,,DHH_MS_cat6_4,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[DHH_MS],,,,,,,,cat,4,,,,6,,Separated,,Separated,,N/A,,4,,Separated,,,,,Marital status,,,,,Marital status,,,,,,,
DHH_MS,,DHH_MS_cat6_5,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[DHH_MS],,,,,,,,cat,5,,,,6,,Divorced,,Divorced,,N/A,,5,,Divorced,,,,,Marital status,,,,,Marital status,,,,,,,
DHH_MS,,DHH_MS_cat6_6,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[DHH_MS],,,,,,,,cat,6,,,,6,,Single,,Single,,N/A,,6,,"Single, never married",,,,,Marital status,,,,,Marital status,,,,,,,
DHH_MS,,DHH_MS_cat6_NA::a,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[DHH_MS],,,,,,,,cat,NA::a,,,,6,,not applicable,,not applicable,,N/A,,96,,Valid skip,,,,,Marital status,,,,,Marital status,,,,,,,
DHH_MS,,DHH_MS_cat6_NA::b,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[DHH_MS],,,,,,,,cat,NA::b,,,,6,,missing,,missing,,N/A,,"[97, 99]",,Don't know (97); Refusal (98); Not stated (99),,,,,Marital status,,,,,Marital status,,,,,,,
DHH_MS,,DHH_MS_cat6_NA::b,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[DHH_MS],,,,,,,,cat,NA::b,,,,6,,missing,,missing,,N/A,,else,,else,,,,,Marital status,,,,,Marital status,,,,,,,
DHHDHSZ,,N/A,,,cont,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[DHHDHSZ],,,,,,,,cont,copy,,,,N/A,,Persons,,Persons,,persons,,"[1, 13]",,Number of Persons,,,,,Household size,,,,,Household size - (D),,,,,,,
DHHDHSZ,,N/A,,,cont,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[DHHDHSZ],,,,,,,,cont,NA::a,,,,N/A,,not applicable,,not applicable,,persons,,96,,Valid skip,,,,,Household size,,,,,Household size - (D),,,,,,,
DHHDHSZ,,N/A,,,cont,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[DHHDHSZ],,,,,,,,cont,NA::b,,,,N/A,,missing,,missing,,persons,,"[97, 99]",,Don't know (97); Refusal (98); Not stated (99),,,,,Household size,,,,,Household size - (D),,,,,,,
DHHDHSZ,,N/A,,,cont,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[DHHDHSZ],,,,,,,,cont,NA::b,,,,N/A,,missing,,missing,,persons,,else,,else,,,,,Household size,,,,,Household size - (D),,,,,,,
diabX,,N/A,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[diab_m, diab_drug, CCC_51]",,,,,,,,N/A,Func::determine_inclusive_diabetes,,,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,,,,Diabetes prevalance (inclusive),,,,,Diabetes prevalence based on more inclusive classification,,,,,,,"Derived from diab_m, diab_drug, and CCC_51"
diabX,,diabX_cat2_1,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[diab_m, diab_drug, CCC_51]",,,,,,,,N/A,1,,,,2,,Yes,,Yes,,N/A,,N/A,,Yes,,,,,Diabetes prevalance (inclusive),,,,,Diabetes prevalence based on more inclusive classification,,,,,,,
diabX,,diabX_cat2_2,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[diab_m, diab_drug, CCC_51]",,,,,,,,N/A,2,,,,2,,No,,No,,N/A,,N/A,,No,,,,,Diabetes prevalance (inclusive),,,,,Diabetes prevalence based on more inclusive classification,,,,,,,
diabX,,diabX_cat2_NA::b,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[diab_m, diab_drug, CCC_51]",,,,,,,,N/A,NA::b,,,,2,,missing,,missing,,N/A,,N/A,,missing,,,,,Diabetes prevalance (inclusive),,,,,Diabetes prevalence based on more inclusive classification,,,,,,,
diab_drug,,N/A,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[MEUCATC, NPI_25B]",,,,,,,,N/A,Func::is_diabetes_drug,,,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,,,,Diabetes medication,,,,,Taking diabetes drugs,,,,,,,"Derived from MEUCATC, NPI_25A, and NPI_25B"
diab_drug,,diab_drug_cat2_1,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[MEUCATC, NPI_25B]",,,,,,,,N/A,1,,,,2,,Yes,,Yes,,N/A,,N/A,,Yes,,,,,Diabetes medication,,,,,Taking diabetes drugs,,,,,,,
diab_drug,,diab_drug_cat2_2,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[MEUCATC, NPI_25B]",,,,,,,,N/A,2,,,,2,,No,,No,,N/A,,N/A,,No,,,,,Diabetes medication,,,,,Taking diabetes drugs,,,,,,,
diab_drug,,diab_drug_cat2_NA::b,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[MEUCATC, NPI_25B]",,,,,,,,N/A,NA::b,,,,2,,missing,,missing,,N/A,,N/A,,missing,,,,,Diabetes medication,,,,,Taking diabetes drugs,,,,,,,
diab_m,,diabX_cat2_1,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[LAB_HBA1],,,,,,,,cont,1,,,,2,,Yes,,Yes,,N/A,,"[0.65, 0.130]",,Yes,,,,,Diabetes prevalence based on HbA1C,,,,,Diabetes prevalence based on HbA1C level,,,,,,,
diab_m,,diabX_cat2_2,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[LAB_HBA1],,,,,,,,cont,2,,,,2,,No,,No,,N/A,,"[0.041, 0.65)",,No,,,,,Diabetes prevalence based on HbA1C,,,,,Diabetes prevalence based on HbA1C level,,,,,,,
diab_m,,diabX_cat2_NA::a,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[LAB_HBA1],,,,,,,,cont,NA::a,,,,2,,not applicable,,not applicable,,N/A,,9.96,,Valid skip,,,,,Diabetes prevalence based on HbA1C,,,,,Diabetes prevalence based on HbA1C level,,,,,,,
diab_m,,diabX_cat2_NA::b,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[LAB_HBA1],,,,,,,,cont,NA::b,,,,2,,missing,,missing,,N/A,,"[9.97, 9.99]",,Don't know (9.97); Refusal (9.98); Not stated (9.99),,,,,Diabetes prevalence based on HbA1C,,,,,Diabetes prevalence based on HbA1C level,,,,,,,
diab_m,,diabX_cat2_NA::b,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[LAB_HBA1],,,,,,,,cont,NA::b,,,,2,,missing,,missing,,N/A,,else,,else,,,,,Diabetes prevalence based on HbA1C,,,,,Diabetes prevalence based on HbA1C level,,,,,,,
DIURmed,,N/A,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[MEUCATC, NPI_25B]",,,,,,,,N/A,Func::is_diuretic,,,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,,,,Diuretics,,,,,Taking diuretics,,,,,,,"Derived from MEUCATC, NPI_25A, and NPI_25B"
DIURmed,,DIURmed_cat2_1,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[MEUCATC, NPI_25B]",,,,,,,,N/A,1,,,,2,,Yes,,Yes,,N/A,,N/A,,Yes,,,,,Diuretics,,,,,Taking diuretics,,,,,,,
DIURmed,,DIURmed_cat2_2,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[MEUCATC, NPI_25B]",,,,,,,,N/A,2,,,,2,,No,,No,,N/A,,N/A,,No,,,,,Diuretics,,,,,Taking diuretics,,,,,,,
DIURmed,,DIURmed_cat2_NA::b,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[MEUCATC, NPI_25B]",,,,,,,,N/A,NA::b,,,,2,,missing,,missing,,N/A,,N/A,,missing,,,,,Diuretics,,,,,Taking diuretics,,,,,,,
EDUDR04,,EDUDR04_cat3_1,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[EDUDR04],,,,,,,,cat,1,,,,3,,No high school,,No high school,,N/A,,1,,Less than secondary school graduation,,,,,Highest education level,,,,,"Highest level of education - respondent, 4 levels - (D)",,,,,,,
EDUDR04,,EDUDR04_cat3_2,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[EDUDR04],,,,,,,,cat,2,,,,3,,Secondary,,Secondary,,N/A,,2,,Secondary school graduation,,,,,Highest education level,,,,,"Highest level of education - respondent, 4 levels - (D)",,,,,,,
